;Stopkode;Pos.nr.;Kode til stoppunkt;Short name;Længdegrad;Breddegrad;Long name;GPS-radius;Oprettet;UTM32_Easting;UTM32_Northing
8546;77510012;1;775100121;HØJSKOLEN;9,40090881;56,55197100;Højskolen/Skals (Viborg Kom);50;05/07/2022;524646;6267587
8547;77510012;2;775100122;HØJSKOLEN;9,40070408;56,55196835;Højskolen/Skals (Viborg Kom);50;05/07/2022;524633;6267586
8548;77510015;1;775100151;SKALSKIRKE;9,40622361;56,55818493;Skals Kirke (Viborg Kom);50;05/07/2022;524968;6268280
8549;77510015;2;775100152;SKALSKIRKE;9,40588803;56,55825393;Skals Kirke (Viborg Kom);50;05/07/2022;524948;6268288
8550;77510016;1;775100161;EGEVEJ;9,41379517;56,55820547;Egevej/Ejstrupvej (Viborg Kom);50;05/07/2022;525434;6268285
8551;77510016;2;775100162;EGEVEJ;9,41384100;56,55827355;Egevej/Ejstrupvej (Viborg Kom);50;05/07/2022;525436;6268293
8552;77510020;1;775100201;LÅSTRUPVEJ;9,37737359;56,57618318;Låstrupvej/Løgstørvej (Viborg Kom);50;05/07/2022;523184;6270273
8553;77510020;2;775100202;LÅSTRUPVEJ;9,37741111;56,57521065;Låstrupvej/Løgstørvej (Viborg Kom);50;05/07/2022;523187;6270165
8554;77510020;9;775100209;LÅSTRUPVEJ;9,37724962;56,57538589;Låstrupvej/Løgstørvej (Viborg Kom);50;05/07/2022;523177;6270185
8555;77510030;9;775100309;GØRUP;9,36815235;56,65492115;Gørup (Viborg Kom);50;05/07/2022;522570;6279035
8556;77510040;9;775100409;HEJRING;9,64287103;56,61307629;Hejring (Viborg Kom);50;05/07/2022;539457;6274501
8557;77510050;2;775100502;NØRRERIND;9,34068426;56,58119985;Nørre Rind (Viborg Kom);50;05/07/2022;520927;6270820
8558;77510050;9;775100509;NØRRERIND;9,34038641;56,58213144;Nørre Rind (Viborg Kom);50;05/07/2022;520908;6270924
